0,1,2,3,4,5
1,OLD,20199842,인비저블맨,282886740,30637
2,OLD,20192399,1917,210963140,21874
3,OLD,20180962,지푸라기라도 잡고 싶은 짐승들,106162480,11458
4,OLD,20193321,정직한 후보,60374480,6666
5,OLD,20192240,작은 아씨들,59381200,6581
6,OLD,20204681,더 보이 2: 돌아온 브람스 ,36158000,3657
7,OLD,20190864,울프 콜,31259500,3582
8,OLD,20135428,어바웃 타임,15791000,3135
9,OLD,20193526,젠틀맨,27728560,3027
10,OLD,20040598,해리포터와 아즈카반의 죄수,29213000,2906
1,OLD,20199842,인비저블맨,367616260,40083
2,OLD,20192399,1917,252466400,26261
3,OLD,20180962,지푸라기라도 잡고 싶은 짐승들,181927300,20073
4,OLD,20193321,정직한 후보,111687410,12571
5,OLD,20192240,작은 아씨들,83558340,9453
6,OLD,20193526,젠틀맨,67772650,7689
7,OLD,20040598,해리포터와 아즈카반의 죄수,46811000,4715
8,OLD,20197390,조조 래빗,9679140,1093
9,OLD,20183782,기생충,6889800,984
10,OLD,20205525,장마,4074000,835
1,OLD,20180962,지푸라기라도 잡고 싶은 짐승들,642317060,69235
2,OLD,20192399,1917,519643080,53890
3,OLD,20193321,정직한 후보,384071320,42674
4,OLD,20192240,작은 아씨들,198286630,22109
5,OLD,20182447,클로젯,65226000,7435
6,OLD,20183782,기생충,24967120,3655
7,OLD,20193911,"하이, 젝시",23881500,2611
8,OLD,20197390,조조 래빗,19149180,2049
9,OLD,20184891,수퍼 소닉,16171160,1978
10,OLD,20193288,숀더쉽 더 무비: 꼬마 외계인 룰라!,8897080,1091
1,OLD,20193321,정직한 후보,2282525940,262662
2,OLD,20192240,작은 아씨들,935617190,107959
3,OLD,20182447,클로젯,641461040,71830
4,OLD,20183782,기생충,226729200,33287
5,OLD,20184891,수퍼 소닉,246304450,30493
6,OLD,20180939,남산의 부장들,213728320,24301
7,OLD,20198431,버즈 오브 프레이(할리 퀸의 황홀한 해방),116148660,12959
8,OLD,20192984,극장판 미니특공대: 공룡왕 디노 ,83643860,10519
9,OLD,20197390,조조 래빗,71573620,7958
10,OLD,20192101,히트맨,34564800,4262
1,OLD,20182447,클로젯,1701111950,188699
2,OLD,20198431,버즈 오브 프레이(할리 퀸의 황홀한 해방),560412320,60583
3,OLD,20180939,남산의 부장들,539083260,60064
4,OLD,20192101,히트맨,321146980,38061
5,OLD,20192984,극장판 미니특공대: 공룡왕 디노 ,123433440,15642
6,OLD,20197390,조조 래빗,89572720,10019
7,OLD,20100312,인셉션,41559000,4622
8,OLD,20192300,스파이 지니어스 ,28459500,3324
9,OLD,20191109,페인 앤 글로리,22545600,2588
10,OLD,20198676,타오르는 여인의 초상,23964240,2537
1,OLD,20180939,남산의 부장들,1438625680,163169
2,OLD,20192101,히트맨,1020543170,115867
3,OLD,20192300,스파이 지니어스 ,150952940,18245
4,OLD,20188421,미스터 주: 사라진 VIP,120614300,14381
5,OLD,20100312,인셉션,121050000,13327
6,OLD,20183002,해치지않아,60092080,7108
7,OLD,20198676,타오르는 여인의 초상,43652140,4978
8,OLD,20198430,나이브스 아웃,23963720,3757
9,OLD,20196670,나쁜 녀석들: 포에버,25392660,3434
10,OLD,20199581,닥터 두리틀,16408200,2456
1,OLD,20180939,남산의 부장들,7106650480,782927
2,OLD,20192101,히트맨,3437350510,381642
3,OLD,20188421,미스터 주: 사라진 VIP,956390450,107915
4,OLD,20192300,스파이 지니어스 ,618557910,72739
5,OLD,20183002,해치지않아,397715800,45631
6,OLD,20199581,닥터 두리틀,122690960,13743
7,OLD,20196670,나쁜 녀석들: 포에버,92226440,9969
8,OLD,20198676,타오르는 여인의 초상,57787440,6282
9,OLD,20192604,오즈의 마법사: 요술구두와 말하는 책,32301240,3885
10,OLD,20192206,백두산,32730680,3708
1,OLD,20183002,해치지않아,1927802340,221818
2,OLD,20196670,나쁜 녀석들: 포에버,1000154610,107596
3,OLD,20199581,닥터 두리틀,873568490,102378
4,OLD,20192206,백두산,326328200,36915
5,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,163201040,17657
6,OLD,20184571,천문: 하늘에 묻는다,115225400,13210
7,OLD,20198676,타오르는 여인의 초상,82748980,9413
8,OLD,20196272,미드웨이,67608980,7583
9,OLD,20197803,겨울왕국 2,57797460,6681
10,OLD,20198414,시동,56235620,6363
1,OLD,20199581,닥터 두리틀,2423634720,280696
2,OLD,20192206,백두산,885695930,99296
3,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,919632380,98001
4,OLD,20184571,천문: 하늘에 묻는다,451395660,52985
5,OLD,20196272,미드웨이,336655100,38196
6,OLD,20198414,시동,333740770,37239
7,OLD,20197803,겨울왕국 2,150259820,17190
8,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,115878300,14029
9,OLD,20192401,포드 V 페라리,61684620,6568
10,OLD,20198430,나이브스 아웃,57895940,6194
1,OLD,20192206,백두산,1809882740,205310
2,OLD,20184571,천문: 하늘에 묻는다,1087854240,125680
3,OLD,20196272,미드웨이,987319520,111470
